,tweet,brand_or_product,emotion,target
2200,Google Labs' Fusion Tables made Election Day Foursquare visualization possible #SXSW ^PR,Other Google product or service,positive,0
2202,I'm late but finally here at #gsdm #google #SXSW great surprise to b greeted by the lovely Lindsay stillman. Gonna b a good night.,Google,positive,0
2203,"Everyone buy @mention an app for his new iPad on this day of his birth. Happy, happy. #SXSW #gsdm",iPad or iPhone App,positive,0
2204,"Should I buy an iPad for @mention at the makeshift #sxsw Apple Store on launch day? Fuck no, I respect him too much... #wwsxsw",iPad,negative,1
2207,"The walk by Lady Bird Lake was lovely, but Google Maps travel times are not to be trusted. #SXSW",Other Google product or service,negative,1
2208,"&quot;...by the law of averages, better than Buzz&quot; RT @mention &quot;Google Circles will be ______ &quot;  #sxsw",unknown,positive,0
2214,The ironic tee has been usurped by the iPad 2 as the hipster/geek/start-up chic fashion item at this year's #SXSW,iPad,positive,0
2221,The iPad calendar = The Frankeninterface. Designed as one interface metaphor but uses another. #tapworthy #sxsw,unknown,negative,1
2222,"#SXSW #macallan A formula for a successful day at SXSW - good sessions, my iPad, and a glass of MacAllan single malt. {link}",iPad,positive,0
2224,@mention Can not wait for #iPad 2 also. They should sale them down at #SXSW.,iPad,positive,0
2228,"Music: Location, mobile recording, meet @mention - #ios and #android updates in time for #sxsw. {link}",unknown,positive,0
2238,"#sxsw #enchantment: @mention &quot;Sell your dream. Steve Jobs doesn't say: iPhone is $188 of parts+AT&amp;T, made by ppl in suicidal Chinese",iPhone,negative,1
2241,@mention check it. RT @mention #SXSW FREE App Festival Explorer: find the bands you want to see from your music tastes {link},iPad or iPhone App,positive,0
2242,@mention check out @mention awesome dj skills on the iPad while u are at #SXSW,iPad,positive,0
2243,"@mention Check out 2011 South by Southwest Interactive iPhone/iPad Must-have Apps, sites and tools by @mention {link} #SXSW",iPad or iPhone App,positive,0
2246,@mention check out our #eventseekr app launching at #sxsw keep updated on parties. Android: {link} iPhone app on its way,Android App,positive,0
2247,"@mention check out Smyle (for #Android and the web). Has group chat, shared location and media, and whiteboarding. Thanks. #SXSW #app",Android App,positive,0
2248,About to check out &quot;mistakes I made building Netflix for iPhone.&quot; this is going to be cool -you should always learn from mistakes. #sxsw,iPad or iPhone App,positive,0
2249,@mention Check the latest stream at Apple's store at #SXSW {link} . ipad2 here I come. #PLAYSXSW,iPad,positive,0
2250,@mention Check the latest stream at Apple's store at #SXSW {link} . iPad2 wait for me  #PLAYSXSW,iPad,positive,0
2252,"Just launched the pop-up Apple Store at #SXSW. It's our &quot;vintage&quot; store format: Mostly iPods and snarky employees. Ah, the good old days.",Apple,negative,1
2255,"Stupid technology! You always fail at important times! At #SXSW w/ an iPhone, laptop AND Blackberry and the only thing working is my pen.",iPhone,negative,1
2261,It's official: people using the iPad 2 to take photos just look weird. #SXSW,iPad,negative,1
2262,It's official: We'll be presenting #Filmaster for #iPhone in the contest of world's best mobile apps at #SXSW !!! {link},iPad or iPhone App,positive,0
2264,It's official! I'm buying an iPad. #SXSW #elevate,iPad,positive,0
2266,Pretty excited about the Apple Pop Up Store coming to #SXSW {link},Apple,positive,0
2267,Pretty excited for @mention iPad session #uxdes #sxsw,iPad,positive,0
2268,Pretty excited for my iPhone to stop working #sxsw #AT&amp;T,iPhone,negative,1
2271,We are excited to see HLS Dynamic Video Ad Insertion for TV Everywhere working on the #iPad2 later today at the #SXSW PopUp Apple Store,iPad,positive,0
2281,My first computer as a kid was an Atari 800; my kids first computer will be an iPad.  What will they be able to do that I couldn't? #sxsw,iPad,positive,0
2282,.crowdbeacon has put together a guide to #sxsw at {link} The latest update to their iPhone app is going to be sick.,iPad or iPhone App,positive,0
2283,"On its second day in business, the Apple pop-up store appears to be trending. #sxsw #vb (@mention Apple Store, SXSW) [pic]: {link}",Apple,positive,0
2285,At #SXSW conf and EVERYONE has a Mac or Ipad (including me). What happened to the PC? Is it becoming obsolete?,iPad,positive,0
2286,@mention congrats on the first iPad 2 at #sxsw,iPad,positive,0
2287,@mention Congrats on your iPhone app being featured at #SXSW!,iPad or iPhone App,positive,0
2288,@mention Congratulations on winning the Android award! :) #sxsw,Android,positive,0
2289,"@mention congratulations, sent from Seesmic on my Android phone, at #SXSW!",Android App,positive,0
2293,Trying 2 convince @mention 2 watch the launch of google Social network at #SXSW . I didn't know there was going to be comedy?!,Other Google product or service,negative,1
2294,"@mention Cool! That means we can watch Ustream in Skyfire browser on iPhone :-)
(Safari doesn't work) 
Have fun!  #sxsw",iPhone,positive,0
2295,"Could be cool. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",Other Google product or service,positive,0
2296,"Eating a coolhaus ice cream sandwich at the Google party. Hmmm, happy. #sxsw",Google,positive,0
2297,I really could use one of those tiny MacBook Airs. Did I read that Apple set up a temporary store at SXSW? Where is it? #SXSW,Apple,positive,0
2301,@mention crew ripped up Android party - thanks for having us Droid! {link} #sxsw,Android,positive,0
2302,The data crunch at #SXSW is crippling Google Voice. Back to regular texting we go...,Other Google product or service,negative,1
2303,new product idea: pants with a built in iphone charging dock built into the pocket! #sxsw,iPhone,positive,0
2304,"True,expect more insidious approaches, like Apple subscriptions. RT @mention {link} . Disgraceful.  #libraries #sxsw",Apple,negative,1
2308,"#bjdproductions Before It Even Begins, #Apple Wins #SXSW {link} #tech",Apple,positive,0
2309,{link} Security guard enjoying the iPad2 at the Apple Store in Austin... #sxsw,iPad,positive,0
2313,Unimitated - Fingerprint Security Scan - {link} #iTunes #ipad2 #1990style #SXSW,iPad,positive,0
2314,"#flipboard - when bldg app for AppStore, need wholistic mktg awareness, p.r. strategy to drive adoption Don't just rely on Apple. #rji #sxsw",unknown,negative,1
2317,"Also, iPad 2 ordered. Now I don't have to stand in line, wasting valuable fellowship time. #sxsw",iPad,positive,0
2318,"Discovered a new conversation icebreaker: &quot;Hey, is that the new iPad 2? Why yes it is...&quot; #SXSW #social",iPad,positive,0
2319,I composed a tweet so acerbic and cynical about ipad users that my phone crashed and dumped all my apps. #twitterpower #sxsw #imthatgood,iPad,negative,1
2321,Wish I had an iPad right now. Lasts longer than the phone and not as awkward as the laptop. #SXSW,iPad,positive,0
2322,That could be dangerous RT @mention Sweet...Apple listened to us!  A temp Apple Store near #SXSW for iPad2 launch!  {link},Apple,positive,0
2324,This could be the first big news out of #sxsw... {link}  Google building new social framework.,unknown,positive,0
2325,Google and Bing meet at #SXSW after their lovers tiff last month but it seems to have been disappointingly friendly {link},Google,negative,1
2326,Google and Bing page rank panel is ridiculously crowded. Is Al Franken or Justin Timberlake here? #sxsw {link},Google,negative,1
2328,Unexpected bonus of waking up at 4am to make #SXSW flight: being up to order iPad 2 right as it's released,unknown,positive,0
2331,Near Field Communication already here on android phones. #SXSW #bemyneighbor,unknown,positive,0
2333,Major iPad design flaw: the SXSW Go iPad app. It doesn't stay open when you switch apps! #ipaddesignheadaches #sxsw,iPad or iPhone App,negative,1
2335,I'm headed down to #SXSW to hear a talk on integrated social network dynamics and team synergy.  I've got my iPad ready to go.,iPad,positive,0
2336,"When bored during a keynote #sxsw, use your iPad to draw a picture - even if you are not a good artist!  {link} #sxswi",iPad,positive,0
2338,Your brand focus? RT @mention 'Trust of Zappos + Likability of Virgin + Product of Apple' - recipe for success @mention #SXSW,Apple,positive,0
2339,"When brand focuses on purpose, not object, they survive &amp; succeed. Google: not search, useful info. Nike: not sneakers, performance. #sxsw",Google,positive,0
2340,Unexpected geekout moment of #sxsw so far: talked with the guys who are bringing the Traveller RPG to the iPhone.,iPad or iPhone App,positive,0
2342,Only stood in line for 30 minutes to buy 2 iPads at the Apple pop-up store. #apple #sxsw #ipad #austin #fuckyeah,iPad,positive,0
2343,"Sam licked it, so it's his! RT: @mention How I got an iPad 2 during #SXSW! {link} cc @mention",iPad,positive,0
2347,"Just added my #SXSW flights to @mention Matching people on planes/airports. Also downloaded the @mention iPhone app, nicely done.",iPad or iPhone App,positive,0
2348,Just found out new mapquest iPhone app has turn-by-turn gps for free... Time to check it out and get reacquainted with mq #sxsw,iPad or iPhone App,positive,0
2349,You should probably put that away... RT @mention at the Android party and kinda embarrassed by my iPhone #SXSW,iPhone,negative,1
2351,makes good sense RT @mention Apple set to open popup shop in core of SXSW action {link} via @mention #SXSW,Apple,positive,0
2352,UBER BRAND SMART: Gonna move a ton of iPad2 - #Apple opening a popup shop in Austin for #SxSW  {link} via@mention @mention,unknown,positive,0
2353,Just heard that Apple is opening a store in downtown Austin tomorrow to sell iPads to #SXSW attendees.,Apple,positive,0
2360,Interested to hear how it's different from Google Buzz. RT @mention Get ready for the word &quot;Circles&quot; to be trending #SXSWi #SXSW :),Other Google product or service,positive,0
2364,"So Annoyed with #SXSW schedule app that has bad #ui for iPad. My fingers ain't THAT fat, y'all.",iPad or iPhone App,negative,1
2365,{link} Did you hear? Appleï¿½Ûªs opening a temporary store just for #SXSW! (via @mention,Apple,positive,0
2370,ballroom d: #marissagoogle talking about some cool projects (obv). love the Google Art Project. #sxsw,Google,positive,0
2371,All packed! Charging the ipad for a busy day/weekend ahead. Also need to download the #SXSW apps for iphone/ipad!,iPad or iPhone App,positive,0
2372,"IPAD FOUND!!! My friend Jeff has it!!!! #SXSW thanks to everyone who helped, especially @mention",iPad,positive,0
2373,All Packed. A few too many #Apple devices. Alarm set for 5:15am. See ya'll at #SXSW. Psyched to meet (finally) many of you guys!,Apple,positive,0
2375,First ipad2 sighting at #SXSW interactive - infact everyone has at least 1 Apple product in use at all times,unknown,positive,0
2376,Download Daily Grape  - a new app from @mention for the iPhone.  You can take him with you to the wine shop. #sxsw,iPad or iPhone App,positive,0
2379,Cobra iRadar detection system coming to Android next month {link} #Android #GPS #iPhone #SXSW,Android App,positive,0
2382,"Exciting day at #sxsw to day. Now Tim Ferriss, and rumors about launch of Google Circles later...",Other Google product or service,positive,0
2383,It's pie day at the google booth at #sxsw #mylunch,Google,positive,0
2385,The forbidden apple has been spoiled! Long live #samsung! They are rocking the #sxsw &amp; #sxswi's world.,Apple,negative,1
2389,I just made the decision: Id like to purchase an iPad.  It would be perfect for me at #SXSW.,iPad,positive,0
2391,"Getting ideas at #SXSW? Save them on your iPad using Action Lists. True to GTD, syncs w/ iPhone &amp; web.
{link}",unknown,positive,0
2393,Have decided I need an ipad. #usguys #sxsw,iPad,positive,0
2396,"It's a model for one, not for all. RT @mention #sxsw &quot;apple comes up with cool tech no one's ever heard of cuz they don't go to conferences&quot;",Apple,positive,0
2397,Great UI demo of @mention on @mention {link} #xoom #sxsw #android #tech #tablet,Android,positive,0
2403,The iPad design panel in Hilton Salon J is filling up quickly. No surprises there. #tapworthy #sxsw it's more fun with the iPad2,iPad,positive,0
2417,is a bit disappointed that the two iPad talks had so many overlapping examples #sxsw,Apple,negative,1
2421,"So every DJ at #SXSW now spins with an iPad as part of their arsenal. The future is coming. No wait, it's here.",unknown,positive,0
2424,hope u didn't jinx it. :) @mention Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,positive,0
2426,Thank goodness they ran out of iPad 2s. Now I don't have to worry about giving in and just buying one at the popup Apple store. #SXSW,iPad,positive,0
2433,"Fest tip-don't be an iPhone douche.Put away your phone and talk to your fellow festgoers in lines, etc.All good people who love film. #sxsw",iPhone,negative,1
2437,Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear,Apple,positive,0
2440,"Having a drink called an Alan Turing and making a Lego robot. Oh, Google :) #sxsw  @mention Speakeasy {link}",Google,positive,0
2441,Apple is driving the &quot;consumerization&quot; of IT.  #empowered  #SXSW,Apple,positive,0
2443,at the Android party and kinda embarrassed by my iPhone #SXSW,iPhone,negative,1
2444,Our friends at @mention finally &quot;put out&quot; for Android. Get their app &amp; get your disc on during #sxsw ^KH,unknown,positive,0
2450,That sounds...fantastic. RT @mention At the Google party...awesome. #SXSW,unknown,positive,0
2455,This schedule is heavier than my laptop. Where's my ipad already? #sxsw,iPad,positive,0
2457,"Kinda giddy about #TheIndustryParty with #Google (&amp; more) at #GSDM. Finally, the fun comes to us non #SWSurrogates. #sxsw #notpouting",Google,positive,0
2458,Google body beta uber  #SXSW #health2dev #cool,Other Google product or service,positive,0
2460,"Can anybody get the #SXSW mobile apps to work? I've downloaded Android, iPhone and BlackBerry and they all get stuck downloading on startup.",iPad or iPhone App,negative,1
2461,i'm already jealous // @mention Apple does a popup store just for #sxsw {link} #gonnagetanipad2,Apple,positive,0
2462,Can already tell i should have brought as ass pillow and iPhone backup charger to #sxsw #numbassonfloor,iPhone,positive,0
2466,Find where @mention is playing at #SXSW on the #eventseekr app for Android. We got u! {link},Android App,positive,0
2467,Off to see @mention in &quot;Left Brain Search = Google. Right Brain Search = X&quot; panel at #SXSW #BetterSearch,Google,positive,0
2468,Srsly love @mention @mention promo @mention Srsly hate that it excludes @mention Esp. since my iPad insists I'm at Disney #sxsw,iPad,negative,1
2469,"The Google / ACLU party tonight at #sxsw is the best thing ever. (And apparently, the Spazmatics are a franchised band. But they rock.)",Google,positive,0
2473,"Only white #ipad2 64gig wifi available at #Austin #SXSW #Apple popup store right now, but no wait!",unknown,positive,0
2475,"#dgtltribe #sxsw #openbeta6 iPad give-away, fantastic! now how are we going to squeeze that in...",iPad,positive,0
2477,Loving the 80s music at aclu google party!!! #sxsw,Google,positive,0
2478,sure to be a total scene! RT @mention Just spoke with the Austin Apple store. They are cautiously optimistic. #nerd #sxsw,Apple,positive,0
2481,"Add google alerts to your project, and amazing things happen...#sxsw",Other Google product or service,positive,0
2483,Looks like all the apps for #SXSW are for the #iPhone. What about the #blackberry? The blackberry??? {link} (rt @mention,iPhone,positive,0
2484,Even I use an iPhone now. RT @mention From evidence at #SxSW they might as well call this country the United States of Apple. #sxswsa,iPhone,positive,0
2486,"Any Google Analytics and DFP experts at #SXSW? Would love some insight on managing DFP campaigns, ad management/measurement. DM me! #HISXSW",Google,positive,0
2489,Liking the Apple pop-up store at Sixth Street and Congress Avenue @mention #SXSW,Apple,positive,0
2492,Fail Whale artist @mention living through the iPad 2 #sxsw {link},iPad,positive,0
2497,"Which line at #SXSW will be longer? 3/11 at the temp Apple store for the iPad2? Or 3/14 at the Microsoft booth for IE9? [Yeah, right!] :D",Apple,positive,0
2498,Short line at the Apple pop up store in Austin. 50-60 people. #ipad2  #sxsw {link},Apple,positive,0
2499,Whoa! line at the pop up apple store in downtown austin. iPad midnight madness.  #sxsw  {link},iPad,positive,0
2501,New Iphone autocorrect already tried to change &quot;coworkers&quot; to &quot;visigoths.&quot; Its going to be a long five days of #sxsw,iPhone,negative,1
2505,The iPhone battery was not made for @mention #sxsw,iPhone,negative,1
2508,One of the best photo apps for the iPhone ï¿½ï¿½ï¿½ Hipstamatic ï¿½ï¿½ï¿½ is getting ...  #apps #sxsw #hipstamatic {link},iPad or iPhone App,positive,0
2513,Smart move by Apple opening popup store for #iPad2 launch in downtown Austin during #SXSW. {link},Apple,positive,0
2516,Sweet! The convore iPhone app is ready for #sxsw : {link},iPad or iPhone App,positive,0
2517,"Guy on the couch playing with his white iPad 2 while MashBash parties around him is making a statement, dammit. #sxsw",iPad,positive,0
2518,Yes! apple design wins again! RT @mention The new iSack is SOO Cool! #sxsw  {link},Apple,positive,0
2521,This Apple Fanboy just bought an iPad 2 - sweeeet! At #SXSW special Apple pop-up store,iPad,positive,0
2522,"Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,positive,0
2523,New circle game? RT @mention  @mention Google (tries again) to launch new social network called Circles: {link} #sxsw,Other Google product or service,negative,1
2528,"If you are going to be on foot at #SXSW, don't forget to stop by the newest Apple store in Austin: {link}",Apple,positive,0
2532,"Got in the Google party not before being interviewed by Twit TV, finally ran into @mention #sxsw",unknown,positive,0
2533,I'm at the google party. @mention Rocks! #sxsw,Google,positive,0
2534,Here's the guy who bought the first #iPad2 at the #SXSW popup store (hope he registers for his Thoora beta!) {link},iPad,positive,0
2536,"With XWave headsets, we can actually control iPhone apps with our brain!? #SxSWNUI #gsdm #sxsw",iPad or iPhone App,positive,0
2537,"Man, these hipsters are getting crazy at the Google party #SXSW  {link}",Google,positive,0
2539,What Apple hopes you didn't notice about iPad 2 {link} #sxsw #sxswi #technology #mobile #prodmktg,iPad,negative,1
2545,I would be interested to hear recomds RT @mention recommends using google voice to separate work from life #evolvingworkplace #sxsw,Other Google product or service,positive,0
2548,Win a free ipad 2 from webdoc.com #sxsw RT (awesome tech right here),iPad,positive,0
2549,"Inside the iPad 2: chip brings 50% browsing boost: RT @mention Best Hungry at #sxsw Tip: Mekong River, g... {link}",iPad,positive,0
2550,OMG...free iPad 2s in Salon H! One am! #SXSW!,iPad,positive,0
2551,"Would love ipad2 and to be at #sxsw RT @mention After you get your food, don't forget to snap a photo to win a MacBook air, iPad 2",iPad,positive,0
2552,"the future is about networks, not just data. that's why google may not win long term #SXSW #web3 #SaatchiNY",Google,negative,1
2554,"Then there is hope I too may someday keynote SWSX! RT @mention Bored during keynote #sxsw, but have an iPad  {link}",iPad,positive,0
2555,The volume is overwhelming but the market will self-police. That's why users picked Google over Bing.  #curatedebate #SXSW,Google,positive,0
2559,Why are we leaning on web conventions like small buttons on the iPad? #UXDes #sxsw,iPad,negative,1
2562,The Google map app saves my life on a regular basis RT @mention maps has 150 million users. 40% of users are mobile #sxsw,Other Google product or service,positive,0
2564,"one of the most in-your-face ex. of stealing the show in yrs RT @mention &quot;At #SXSW, Apple schools the mkt experts&quot;  {link}",Apple,positive,0
2566,loving the new iphone #app suggestions coming from @mention #SXSW,iPad or iPhone App,positive,0
2567,OMG. Table next to us is passing around the iPad 2. #hipstermuch #SXSW,iPad,positive,0
2572,tim get me one!  RT @mention Apple employees just showed up in force to the #SXSW PopUp Apple Store. #iPad2,iPad,positive,0
2576,The Google party line starts behind me. Ha! The Germ has put her towel down early... #sxsw,Google,positive,0
2579,WOW! Apple pop up store downtown #Austin projecting 1/4 million+ profits this weekend alone! They may stay past this weekend #SXSW,Apple,positive,0
2580,OMG. Apple pop-up retail at #sxsw? Please let them have a full palette of iPad2's and a truck parked out back,iPad,positive,0
2581,Use Google profile or FB as  entry point? FB too personal? Try Digg or Google Reader to draw people in. #hireme #sxsw,Google,positive,0
2583,if you are ready to take your tech geekdom to a whole new level at #sxsw you will need the Twitter or Google hi-tops {link},unknown,positive,0
2584,"wow, apple really thought about it and #SXSW - {link}",Apple,positive,0
2585,LOL 2 true RT @mention It's official: people using the iPad 2 to take photos just look weird. #SXSW,iPad,negative,1
2586,YES PLEASE RT@mention At #SXSW and want to win an iPad? Get on the case with @mention @mention and @mentionR,iPad,positive,0
2589,Did anyone see/visit  the temporary Apple Store at #SXSW ?,unknown,positive,0
2591,"Ah, a nice simple idea. RT @mention Hello, Holler Gram! Get to know @mention new iPad app {link} #hollergram #sxsw",iPad or iPhone App,positive,0
2593,Trying the Steve Wozniak drink free thanks to Google #H4ckers #SXSW   @mention Speakeasy {link},Google,positive,0
2596,Temp Apple store is killing it in Austin. Selling out early EVERY day. #sxsw,Apple,positive,0
2597,The #apple store popped up at #sxsw with a huge crowd waiting for the geek dreams to come true.  {link},Apple,positive,0
2599,SXSW Apple Survival Kit - Iï¿½Ûªm taking more apple stuff with me to #sxsw than I am clothes {link},Apple,positive,0
2600,Hmm... the sxsw.com/interactive/live stream isn't ipad/mobile compatible. Maybe next year. #sxsw,iPad,negative,1
2603,Third time the charm?&gt;&gt;&gt; #Google to launch new social network at #SXSW? - CNET News {link},Google,positive,0
2604,Yay!  Love the iPad 2!  Perfectly portable for all of the travel we've been doing!  Thanks #sxsw pop-up store!,iPad,positive,0
2607,Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @mention via @mention =&gt;{link},Other Google product or service,positive,0
2608,Looks like this was a fun session at #SXSW: &quot;Mistakes Made Building Nextflix for iPhone&quot;: {link},iPad or iPhone App,positive,0
2610,"I may have to hide all #SXSW tweets. I think the Apple pop-up store was the final straw. Yes, I'm jealous.",Apple,positive,0
2611,Would like to know which LBS app I downloaded has commandeered my iPhone's geolocation setting &amp; won't relinquish. #batterykiller #SXSW,iPad or iPhone App,negative,1
2616,The Google Tv to IPad App: the connected tv experience talk was super rad! #sxsw #sxsw11,iPad or iPhone App,positive,0
2618,Great! See u there  RT @mention I'll be at the Austin Convention Center today w/ my @mention fam... showing my new iPhone game. #SXSW,iPad or iPhone App,positive,0
2619,"Foursquare ups the game, just in time for #SXSW {link} - Still prefer @mention by far, best looking Android app to date.",Android App,positive,0
2620,All iphone users kill yo self if u hated on ubertwitter New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW,iPad or iPhone App,positive,0
2626,I love the waves!!!!!! {link} iPad Webber #japan #sxsw,unknown,positive,0
2628,Just spoke with google about how they are using semantic tech to make searching user reviews better #sxsw #cmswire #web30,Google,positive,0
2629,traded the Xoom I won at the JS party for the iPad 2 @mention won #sxsw #winwin #winning #tigerblood,iPad,positive,0
2633,"Dear Apple, could you roll a hot dog cart full of iPad 2's down to the Austin Convention center. (And bring hot dogs?) #sxsw",iPad,positive,0
2636,"New iPhone, new iPad 2, and they come running as fast as they can, cuz every girl crazy about a sharp Mac man... *strums guitar*  #SXSW",iPhone,positive,0
2639,"Cover time! #sxsw (@mention Apple Store, SXSW w/ 9 others) {link}",unknown,positive,0
2640,Hey People! Down here at #sxsw and we are about to launch @mention  Follow for all the details and a chance for a free iPad 2 !,iPad,positive,0
2642,I want one!! It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link},iPad,positive,0
2643,"Oh, #Apple... you are ridiculous: Before It Even Begins, Apple Winsï¿½ï¿½#SXSW {link} via @mention",Apple,positive,0
2649,Genius idea RT @mention Apple Popup Store at #SXSW {link},Apple,positive,0
2651,Update: heading to the apple store so I can buy an iPad. #sxsw,iPad,positive,0
2653,Getting ready for &quot;iPad design headaches&quot; #sxsw,iPad,negative,1
2654,Getting ready for #sxsw by installing @mention on my iPhone. Woot! {link},iPad or iPhone App,positive,0
2659,"#sxsw already paying dividends, discovered a couple of cool apps for iPhone and Android.",iPad or iPhone App,positive,0
2661,I never realized how shitty by iphone battery was until #sxsw I'm charging every few hours,iPhone,negative,1
2664,"#Apple steals the show (again), with pop-up #marketing at #SXSW--&gt; {link}",Apple,positive,0
2666,Met the team that set up the #sxsw Apple store - set up whole place from nothing in 3 days. Great work!,Apple,positive,0
2667,Nice to hear that mint.com is working on an iPad app! #FTW #SXSWi #SXSW,iPad or iPhone App,positive,0
2669,So it appears Apple is opening a pop up store in Austin for #sxsw - the employees were trying to hide it. The Beechwood tables gave it away.,Apple,positive,0
2670,Several years too late? I think the trend of social apps is over... @mention  #sxsw #google #circles #conversation @mention,iPad or iPhone App,negative,1
2672,Another reason to go to Austin: #Apple to open a #SXSW popup store {link},Apple,positive,0
2673,What a great blog on the latest news of #SXSW ... like the opening of an #Apple store? {link} #sxsw2011 @mention,Apple,positive,0
2674,That's great! RT @mention I'm unique at #SXSW because I'm the only one w/ an iPhone 3GS. All the others followers have the iPhone 4. #winning,iPhone,positive,0
2675,&quot;Facebook and Google are our biggest competitors.&quot; Said #4sq's Crowley #sxsw #eurosxsw,Google,positive,0
2677,Today's Tech Tidbit: The iPad 2 Takes Over SXSW [VIDEO] {link} via @mention @mention #ipad2 #sxsw #tech,iPad,positive,0
2678,"@mention Echofon for iPhone &amp; Mac now both have ï¿½ï¿½ï¿½muteï¿½Û functions, where you can block #sxsw &amp; #sxswi. Iï¿½Ûªm about to do it. Canï¿½Ûªt wait.",iPad or iPhone App,positive,0
2680,why the heck doesn't google maps use browser geo-location? am I missing it somehow? using chrome. @mention #sxsw #startupbus,Other Google product or service,negative,1
2682,Why the heck would anyone want Mozilla to switch to CrapKit (WebKit) when Gecko is good? Stupid Apple/Google bandwaggoners. #sxsw,Apple,negative,1
2683,woah. expect Google Circles today at #sxsw during Google's League of Extraordinary Hackers events today. big!,Other Google product or service,positive,0
2688,"Apple cited as the opposite of crowdsourcing - proprietary, Steve Jobs tells you what you want #csuitecsourcing #sxsw",Apple,negative,1
2689,I am amused at the Apple Pop-up store at #SXSW this year. Brilliant idea... just brilliant. :D {link},Apple,positive,0
2690,just walked by the line for the iPad 2. Bahahahaha! at least 5 blocks long. #fail #SXSW,iPad,negative,1
2692,"It's called HOT SPOTS  -- Mobile Heatmap iPhone App (leveraging 4sq) for #SXSW Helps You Find Hot, or Quiet, Places",iPad or iPhone App,positive,0
2694,Our updated iPhone app has song info for select streams (incl. @mention 24/7) &amp; live video streaming in time for #SXSW {link},iPad or iPhone App,positive,0
2695,Yes! nailed it - Google Circles: to allow our online communication to respect the same boundaries that our offline social lives do. #sxsw,Google,positive,0
2696,I connected my bluetooth keyboard to my iPhone! Hello fast blogging while I'm at #SXSW,iPhone,positive,0
2698,I convinced myself not to upgrade to iPad 2. But then I just held one at the #SxSW trade show... and failed my willpower check.,iPad,positive,0
2699,Just showed off @mention Charge Anywhere at a bar to charge my iPhone and the whole table wanted to buy one. #SXSW,iPhone,positive,0
2700,Just walked past the supposed #Apple #SxSW temp store downstairs @mention and the apple cult was outside taking photos on iphones.,Apple,negative,1
2702,Just passed the Apple store.. On 6th.. Easily 150 folks in line #SXSW  {link},unknown,positive,0
2703,Just joined the heaving river flow into see Marissa Mayer (Google) #sxsw,unknown,positive,0
2705,Was shocked to see Google showcasing Blogger at #SXSW - thought they completely forgot about that service - or is that just me?,unknown,positive,0
2706,Just picked up @mention book: Killer Photoes with your IPhone! #SXSW #sxswchi  {link},iPhone,positive,0
2709,"Just picked up my iPad 2, now back to #sxsw {link}",iPad,positive,0
2716,"Free coffee by company a, free drinks on company b, free food at company c. All money saved goes to Apple. Life at #SXSW. ;)",Apple,positive,0
2722,Guess I need to figure out what sessions. iPad app is killer. Selection overwhelming #sxsw,iPad or iPhone App,positive,0
2723,Already seeing a heavy iPad 2 presence at #sxsw #duh,unknown,positive,0
2725,After a week of #sxsw I have total iPad envy.  :)   #fb,iPad,positive,0
2730,"#google sees the future evolving as mobile, social, and local converge to yield even more relevant results #sxsw",Google,positive,0
2731,Good to meet and see all @mention Don't forget: #mindjet giving away an #iPad for best MindManager map of  #SXSWi details: {link},iPad,positive,0
2733,"If you prefer your news on iPhone, iPad or Droid, @mention has apps for that. @mention @mention &amp; @mention all on mobile apps now. #SXSW",iPad or iPhone App,positive,0
2734,"Google prefers to launch hyped new Social features with meh, not bang? via TC {link} #SXSW",Google,negative,1
2735,"Like in Vegas during #CES, the iPhone is best used as a hand warmer at #SXSW.",iPhone,negative,1
2740,Great panel on iPad magazine design. Pulling articles from different mags sounds awesome. So who's going to build it? #touchingstories #SXSW,iPad,positive,0
2742,Great panel w/guys fr @mention @mention @mention &amp; google hotpot! Social recs def not the end for recs. #discotalk #sxsw #sloanxsw,unknown,positive,0
2743,Airport delay to #sxsw. Just introduced @mention to #CatPhysics. I feel like a drug pusher: First ipad play is free but after that...,iPad,positive,0
2745,Apple's release of the iPad 2 during #sxsw is a huge win especially for international attendees in town for the show.,iPad,positive,0
2747,Note to self: downside of tweeting on an white iPad 2 expect to be mocked. @mention #sxsw,iPad,negative,1
2748,&quot;I believe in God because there is no other explanation for Apple's continued existence.&quot; Guy Kawasaki #enchantment #sxsw,Apple,positive,0
2750,I can't believe what google just announced at Maggie Maes. Game changer for sure. #sxsw,Google,positive,0
2752,you can tell #sxsw is happening when 15 of your few iphone apps all have updates at the same day.,iPad or iPhone App,positive,0
2758,I'm insanely jealous of everyone with an iPad here at #SXSW. Seems like a great way to interact with the panels. ... next year?? :P,iPad,positive,0
2761,Apple's temporary megastore at #SXSW could be model for future conferences/events: {link},Apple,positive,0
